차마,168,110
아가,177,109
차차,176,42
아마,142,105
다아,151,99
바하,168,60
자파,187,73
타다,159,86
바자,148,76
차마,146,76
차마,148,88
가나,191,114
사가,143,43
마파,149,87
차사,167,96
파바,175,54
아아,167,78
가라,153,89
다가,172,63
가다,187,97
파아,199,46
가바,171,75
하다,191,108
타차,174,118
자차,144,118
차가,159,43
파차,174,78
파라,194,119
바아,179,48
바하,177,68
카자,152,79
아파,141,45
파가,182,97
하카,164,113
바파,177,96
파자,190,99
다아,196,88
타파,178,102
마바,152,110
차타,156,46
다아,162,48
아라,188,76
마사,190,119
파나,140,42
자타,187,82
사하,178,85
나라,153,65
마파,149,90
타바,197,87
사차,155,94
바사,142,58
나파,182,88
나자,184,60
다마,182,70
라차,193,51
차아,143,117
자바,189,51
타아,142,90
마파,179,56
사자,178,68
나아,195,94
사가,188,105
마하,188,41
가차,181,100
다가,173,92
아파,179,95
나아,177,101
자가,174,79
바카,163,90
마아,191,105
나하,192,87
마자,155,90
나카,155,99
사마,193,55
하바,158,83
다바,185,117
카차,199,108
아차,180,46
자가,170,59
마마,152,53
가카,143,116
차타,190,103
아차,164,90
파아,171,47
가사,171,94
나파,177,50
차하,168,118
마마,198,77
바라,195,74
다카,194,61
자다,142,49
하바,171,49
다아,143,60
아가,187,48
하다,185,59
차가,159,45
바타,163,100
바바,182,48
나차,169,77
바다,153,44
